latitude,longitude,title,thumbnail_url,reference_url,artist_name,installation_date,art_type,location_description
34.081741,-118.383705,Platanus Bibliotechalis,images/30009178901.jpg,https://www.flickr.com/photos/weho/30009178901/in/album-72157608898733110/,David Wiseman,2011,Sculpture,625 N. San Vicente Blvd
34.092285,-118.379501,Sunset Strip Poinsettia Fields,images/30092628065.jpg,https://www.flickr.com/photos/weho/30092628065/in/album-72157608898733110/,Brad Howe,2011,Sculpture,8600 Sunset Blvd.
34.081825,-118.383774,"Peace, Freedom, and Creativity",images/29464587564.jpg,https://www.flickr.com/photos/weho/29464587564/in/album-72157608898733110/,Shepard Fairey,2011,Mural,625 N. San Vicente Blvd
34.082185,-118.3842395,Horizon; Cubes,images/30009018521.jpg,https://www.flickr.com/photos/weho/30009018521/in/album-72157608898733110/,Erwin Redl,2012,Light sculpture,8687 Melrose Avenue
34.0937726,-118.3440788,Studwall,images/30092720875.jpg,https://www.flickr.com/photos/weho/30092720875/in/album-72157608898733110/,Ball Nogues,2013,Sculpture,1287 N. La Brea Blvd.
34.0925855,-118.3725138,Three Kings,images/29464819184.jpg,https://www.flickr.com/photos/weho/29464819184/in/album-72157608898733110/,Guy Dill,2013,Architectural,1232 Kings Road
34.081741,-118.383705,Doggie Dog (Homage to Giacometti),images/29464852393.jpg,https://www.flickr.com/photos/weho/29464852393/in/album-72157608898733110/,Tsipi Mani,2013,Sculpture,625 N. San Vicente Blvd
34.0907095,-118.3444537,Corner Glory,images/29797542940.jpg,https://www.flickr.com/photos/weho/29797542940/in/album-72157608898733110/,Ball Nogues,2013,Sculpture,7109 Santa Monica Blvd
34.0825,-118.374045,Mandarins from Belize,images/24035805987.jpg,https://www.flickr.com/photos/weho/24035805987/in/album-72157608898733110/,Alice Konitz,2015,Sculpture,616 Croft Avenue
34.090325,-118.370401,Net of Indra,images/30058108156.jpg,https://www.flickr.com/photos/weho/30058108156/in/album-72157608898733110/,Ned Kahn,2015,Sculpture,8300 Santa Monica Blvd.
34.090197,-118.349283,Close-Up,images/25029017238.jpg,https://www.flickr.com/photos/weho/25029017238/in/album-72157608898733110/,Christian Moeller,2016,Sculpture,7302 Santa Monica Blvd.
34.090383,-118.371835,Under the Sun,images/25029008548.jpg,https://www.flickr.com/photos/weho/25029008548/in/album-72157608898733110/,Monique Van Genderen,2017,Sculpture,8350 Santa Monica Blvd.
34.081519,-118.386758,Cabinet of Wonder,images/40612739315.jpg,https://www.flickr.com/photos/weho/40612739315/in/album-72157608898733110/,Elena Manferdini,2017,Sculpture,627 La Peer Drive
34.093964,-118.375805,Dream Catcher,images/25029012948.jpg,https://www.flickr.com/photos/weho/25029012948/in/album-72157608898733110/,Janet Echelman,2017,Sculpture,8500 Sunset Blvd.
34.0829682,-118.3845428,Virginia Court Motel Diver,images/637025989637200000.jpg,https://www.weho.org/community/arts-and-culture/visual-arts/urban-art-program/the-virginia-court-motel-diver,Unknown,Unknown,Sculpture,647 N San Vicente Boulevard
